AccX,AccY,AccZ,GyroX,GyroY,GyroZ,direction
1.014556766,9.349954605,1.853241086,-0.07651081681,0.4427242577,-0.1069013327,0
0.8578268886,9.389435768,2.271985054,-0.03313941509,0.3692677617,0.0006108647794,0
0.3529413342,9.522237778,2.384447813,0.008704823442,0.1791360974,0.08170316368,0
0.7381857634,9.531808853,2.379662037,0.001221729559,0.1302669197,0.169514969,0
1.036092162,9.31166935,2.402393818,0.03161225095,0.3303251266,0.1308777779,0
0.5443671346,9.127422333,2.304288149,0.09987638891,-0.0314595364,0.04199695215,0
1.404586911,9.500701904,2.07098794,0.0478001684,0.08429934084,0.03008509055,0
0.2273181528,9.486345291,2.137987137,-0.06444623321,0.2397644222,0.1835648715,0
1.527817249,9.686145782,2.392822742,-0.05772672221,0.4502073526,0.154548794,0
1.299302697,9.035298347,2.624926329,-0.1385135949,0.4894554019,0.1220202371,0
1.483550072,9.310472488,1.94177556,-0.4138608873,0.436157465,0.2014326602,0
0.9332008362,8.386843681,3.010170937,-0.4836521745,0.1229365394,0.8083268404,0
2.105684042,9.101100922,2.712264538,0.03634645417,0.009315688163,0.2803869247,0
2.139183521,9.054440498,2.956332445,0.3057378232,0.03084867075,-0.142636925,0
2.434697151,9.373882294,3.139383316,0.3378082216,0.2926042378,-0.05039634556,0
1.938186288,9.483952522,2.806781054,0.4683805704,0.1499672979,-0.005497782957,0
2.000399828,9.451649666,2.724228621,0.1907425225,0.2538143098,0.02748891525,0
2.464607239,9.546165466,1.942971945,0.1711948514,0.3677406013,-0.06337722391,0
2.50169611,9.208778381,2.841476917,0.2049451321,0.2506072819,-0.1212566569,0
2.57228446,9.725627899,1.688136339,0.08781181276,0.3197877109,-0.2419024557,0
2.34137702,9.364311218,2.021935225,0.1852447391,0.1983783394,-0.3547597229,0
2.260020971,9.452845573,2.114058733,0.1554650813,0.04230238497,-0.3949240744,0
1.469193101,8.92283535,2.18105793,0.1041524485,0.06948586553,-0.3564395905,0
2.14995122,9.391828537,2.311466694,0.1475238502,0.009010255337,-0.2483165264,0
1.734796405,9.278169632,2.239681959,0.08216131479,0.005039634649,-0.1579085439,0
1.383051515,9.455238342,1.938186288,0.1418733448,0.086742796,-0.04917461425,0
0.8087740541,9.503094673,1.678565025,0.1047633067,-0.002138026757,0.009010255337,0
1.363908887,9.750752449,2.955136061,0.158519417,-0.05894844979,0.08200860023,0
1.161715388,9.734002113,1.816152334,0.2608392537,-0.007635809947,0.1073594838,0
1.209571838,9.964909554,1.775474429,0.1517999023,0.02794706449,0.07788526267,0
1.392622828,9.988838196,1.633101463,0.347276628,-0.1931859851,-0.09224057943,0
1.039681435,10.38724327,0.4438686073,0.3808741868,-0.07971785218,-0.3220784664,0
2.224128723,10.19820976,1.631905079,0.3959930837,-0.2593120933,-0.5607738495,4
2.191825628,9.553344727,1.368694544,0.5354229808,-0.4706713259,-0.9037744403,4
2.196611166,8.906085968,1.544566989,0.4407389462,-0.4798342884,-1.196989536,4
1.25503552,7.89870739,1.422533035,0.4679224193,-0.5668824911,-1.465922713,4
1.326820135,7.216753006,2.123630047,0.578488946,-0.6971494555,-1.657581568,4
0.7202396393,5.984449387,2.224128723,0.6588176489,-1.016173601,-1.878867388,4
-0.5395814776,3.622733593,3.393022537,0.767704308,-1.137124777,-2.291048288,4
-3.83569479,1.154536963,2.861815929,0.8825469017,-1.29533875,-2.52256608,4
-4.234099865,0.2404786795,3.553341627,0.8487966061,-1.476001978,-2.80783987,4
-5.129015446,0.1088734269,0.9583254457,0.8680388331,-1.751043916,-2.708879948,4
-7.868797302,-2.068595171,1.947757602,0.7678570151,-1.463937402,-2.823111534,4
-9.235098839,-2.260020971,0.6903293133,0.6200277805,-1.765704632,-2.78829217,4
-16.28196144,-4.130012035,3.480360508,0.674700141,-1.672547817,-2.16872263,4
-12.96909904,1.197607756,3.498306751,0.339335382,-1.825263977,-1.738521218,4
-12.60060406,2.475374937,5.685346603,0.3265072107,-1.652083755,-0.5920807123,4
-15.48515129,1.746760488,3.657429457,-0.06398808211,-1.144913316,-0.6440041661,4
-13.10907841,2.447857618,4.216153622,-0.086742796,-0.3605629504,-0.7131846547,4
-12.80997562,2.790031195,2.021935225,0.2328922004,-0.5719221234,-0.2797760665,4
-11.99282742,2.712264538,4.46620369,0.2293797284,-0.1652389169,-0.0426078178,4
-11.97727394,2.384447813,4.502095699,0.1481347084,-0.3112356067,0.1075121984,4
-11.05125141,4.256831646,4.748556614,0.1166751757,-0.3591884971,0.2887863219,0
-10.4219389,4.368097782,3.376272678,-0.123547405,-0.2503018379,0.3019199073,0
-9.929018021,3.779463291,4.844269276,0.2000582218,-0.2667951882,0.3578140438,0
-8.684749603,3.47557497,3.823730469,-0.03207040206,0.03329212964,0.03069595434,0
-9.789037704,2.76371026,4.905286312,0.5091558099,-0.4535670877,0.3810268939,0
-6.842276573,5.513063431,2.801995277,-0.01557705179,-0.1447749585,-0.02519817278,0
-8.991030693,4.262813568,5.249852657,0.4094321132,-0.7993165851,0.2916879356,0
-7.619943619,4.424329281,3.997210264,0.09132428467,-0.4874700904,0.05390881747,0
-8.169096947,3.272184849,5.000999451,0.1395826042,-0.5013672709,-0.09147699922,0
-7.385447025,3.245863914,4.671986103,0.4079049528,-0.644462347,0.01389717404,0
-6.981060028,3.785445452,5.308476925,0.181426838,-0.3681987524,-0.1227838174,0
-7.563712597,3.645465374,4.591826439,0.3025307953,-0.435546577,-0.006872228812,0
-7.172485828,3.924229145,4.829912663,0.2977965772,-0.3188714087,-0.0100792693,0
-7.135396957,3.779463291,5.391029358,0.381485045,-0.4198168218,0.01160643063,0
-6.774080753,3.963710785,5.021338463,0.1070540547,-0.1789833754,0.00565049937,0
-7.149754047,3.909872293,4.904089928,0.1383608729,-0.2089157552,0.01847865991,0
-7.398607731,3.754338741,5.39701128,0.1327103674,-0.1026252806,0.0175623633,0
-7.600800991,3.706482172,5.288137913,0.04138609022,-0.01954767294,-0.06536252797,0
-7.06600523,3.940979004,5.385047436,-0.006108647678,-0.04062250629,-0.08964440972,0
-7.838887215,3.597608805,5.315655708,-0.01420260593,-0.002138026757,-0.07147117704,0
-7.134200573,4.019941807,5.297709465,0.01695149764,-0.03543015569,-0.021685699,0
-7.293323517,3.882354736,5.429314613,0.01435532235,0.05406153202,-0.02397644334,0
-7.174878597,4.086941242,5.012963295,0.06444623321,-0.02489273995,0.07024945319,0
-7.557730198,3.905086517,5.264209747,0.02535088919,0.02443459071,0.04886918142,0
-7.475177765,4.04147768,5.339583874,0.04199695215,0.0157297682,0.03512472659,0
-6.477370739,4.098905087,5.455635548,0.02718348242,-0.0157297682,0.05513054505,0
